Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event,table_year,ra_deg,dec_deg
KMT-2016-BLG-0126,BLG43M0401.025970,18:04:35.33,-27:53:22.49,7568.74666,4.97,0.71,19.23,18.65,18.65,1,1.13,OB161196,2016,271.1472083333333,-27.889580555555554
KMT-2016-BLG-0127,SAO43M0408.001814,18:04:19.76,-27:02:14.71,7431.29259,106.22,0.002,15.49,15.48,15.48,1,1.22,OB152093 MB16022,2016,271.0823333333333,-27.037419444444446
KMT-2016-BLG-0128,BLG43M0502.055878,18:03:43.59,-27:51:35.10,7567.25091,15.77,0.004,21.07,19.41,19.41,1,1.08,OB161206 MB16352,2016,270.931625,-27.859750000000002
KMT-2016-BLG-0129,SAO43M0602.036388,18:03:08.11,-27:52:15.49,7534.76136,9.07,0.408,19.07,19.01,19.01,1,1.27,OB160920,2016,270.7837916666666,-27.870969444444444
KMT-2016-BLG-0130,SAO43M0603.073840,18:03:20.90,-27:38:31.60,7513.16165,4.03,0.454,19.71,19.78,19.78,1,1.13,OB160826,2016,270.8370833333333,-27.64211111111111
KMT-2016-BLG-0131,SAO43M0702.020921,18:02:43.57,-27:47:30.91,7511.14055,12.09,0.813,18.54,18.49,18.49,1,1.32,OB160792,2016,270.68154166666665,-27.791919444444446
KMT-2016-BLG-0132,BLG43M0703.059231,18:02:42.54,-27:44:21.08,7537.28035,10.31,0.66,19.44,19.51,19.51,1,1.39,OB160921,2016,270.67725,-27.73918888888889
KMT-2016-BLG-0133,BLG43N0205.057252,18:05:33.79,-28:32:34.12,7562.67121,4.35,0.156,19.91,19.56,19.56,1,0.93,,2016,271.39079166666664,-28.542811111111114
KMT-2016-BLG-0134,SAO43N0304.000597,18:04:57.02,-28:37:40.12,7552.22232,7.03,0.672,14.45,14.46,14.46,1,0.83,OB160975 MB16290,2016,271.2375833333333,-28.62781111111111
KMT-2016-BLG-0135,BLG43N0304.010667,18:04:59.57,-28:39:29.70,7454.16736,60.13,0.154,19.89,17.76,17.76,1,0.92,OB160161,2016,271.2482083333333,-28.65825
KMT-2016-BLG-0136,SAO43N0307.082761,18:05:04.64,-28:20:59.71,7543.18636,6.79,0.143,20.03,20.0,20.09,1,0.96,OB160978 MB16298,2016,271.2693333333333,-28.349919444444442
KMT-2016-BLG-0137,BLG43N0405.048035,18:04:20.22,-28:30:34.49,7530.00578,75.2,0.04,22.48,19.06,19.06,1,0.96,OB160898,2016,271.08425,-28.509580555555555
